State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.18305	1.14597	1.13698	1.12350	1.12238	1.12013	1.12912	1.10553	1.10665	1.06283	1.03137	1.01115	0.98756	0.96621	0.93363	0.92127	0.91902	0.89094	0.88195	0.89431	0.88869
2	1.97616	1.93964	1.87877	1.88688	1.87877	1.91935	1.89094	1.88688	1.76109	1.78544	1.73269	1.72051	1.67588	1.54603	1.55009	1.52574	1.52168	1.57443	1.63124	1.62313	1.63124
3	4.08580	4.01404	3.99490	3.91357	3.83223	3.54996	3.32510	3.14808	3.03804	2.89929	2.77969	2.72706	2.73184	2.88972	2.92321	3.08110	3.08110	3.08588	2.97106	2.95192	2.95192
4	2.95184	2.87805	2.83831	2.78154	2.73613	2.82696	2.96320	2.86669	2.88940	2.87805	2.76451	2.83831	3.06537	2.86102	2.77019	2.69072	2.59422	2.65098	2.58854	2.65098	2.80425
5	1.57434	1.52735	1.59392	1.55085	1.59784	1.50385	1.56259	1.60567	1.69966	1.61351	1.55476	1.41769	1.20621	1.32370	1.40986	1.41769	1.48818	1.41378	1.54301	1.49993	1.50385
6	1.84173	1.82788	1.77249	1.83250	1.79557	1.79096	1.92482	2.02175	1.98482	2.03560	2.28486	2.29409	2.29409	2.41410	2.36332	2.34025	2.28024	2.29870	2.34486	2.33563	2.24331
7	2.17785	2.00883	2.08684	2.03483	1.99582	2.17135	2.35338	2.42489	2.45090	2.47690	2.50290	2.71094	2.39239	2.31437	2.45090	2.43139	2.59392	2.45740	2.21036	2.37288	2.22986
8	0.89702	0.90138	0.90314	0.90499	0.90606	0.90805	0.90652	0.90699	0.90838	0.91112	0.91357	0.91478	0.91919	0.91993	0.92109	0.92053	0.92039	0.92243	0.92341	0.92317	0.92331
9	3.30172	3.26160	3.21574	3.24440	3.16415	3.15842	3.08390	3.07243	3.03804	2.85461	2.80876	2.73997	2.49922	2.40750	2.29859	2.25274	2.24700	2.26993	2.29859	2.21834	2.12663
10	0.98228	0.98737	0.98461	0.98419	0.98864	0.98673	0.98588	0.99119	0.99225	1.00158	1.00115	1.00242	1.01112	1.01324	1.01303	1.01812	1.01685	1.01451	1.01409	1.01218	1.01854
