State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.59044	1.47839	1.31677	1.09467	0.89834	0.71193	0.61872	0.51858	0.47297	0.46404	0.46999	0.46603	0.48189	0.51957	0.59394	0.73870	1.10161	1.74809	2.41937	2.97464	3.40298
2	5.45420	5.67623	5.86604	5.84813	5.13905	4.06469	2.57132	1.73331	1.31789	1.45398	1.72257	1.16390	1.38235	2.14873	4.57680	8.79190	13.20038	15.48878	16.14772	16.04745	15.49236
3	6.04646	7.00495	8.20410	9.85084	12.37160	15.38639	18.27450	20.28014	21.42863	21.03595	24.93321	36.81924	41.49765	42.99238	40.94029	35.42585	28.40402	22.37022	18.00427	14.71081	12.26182
4	3.77245	4.42374	5.30548	6.61306	9.06290	12.78525	19.29811	28.31092	37.25358	40.44989	37.42391	29.89404	23.13569	17.30418	12.62994	8.63706	6.02690	4.11813	3.23639	2.68029	2.20435
5	3.38027	3.88143	4.81463	5.99323	7.68682	9.49793	10.91156	10.37929	7.75595	6.73288	5.86535	4.20978	3.94019	4.07498	4.19595	4.08535	3.48396	2.98625	2.35374	2.00120	1.82147
6	2.52571	2.59904	2.74162	3.00234	3.32416	3.52378	3.31602	3.18566	3.10826	4.33852	4.74590	2.17130	1.76393	1.76800	1.87392	2.12241	2.01650	2.04094	1.84133	1.74356	1.75578
7	2.04255	2.11714	1.96222	1.94501	1.89911	1.97944	1.86469	1.72699	2.08845	3.01219	2.71957	1.52617	1.18192	1.07865	1.10160	1.28520	1.22209	1.30241	1.31389	1.21635	1.34257
8	0.71475	0.69535	0.67173	0.64050	0.59351	0.53850	0.47489	0.41738	0.37989	0.35946	0.35394	0.35832	0.36777	0.37956	0.39597	0.41967	0.44788	0.47194	0.49486	0.51635	0.53510
9	5.64068	6.35399	7.12294	7.93743	8.75697	9.57651	10.05205	10.23417	10.19370	9.95087	9.81428	9.84463	10.13805	10.68441	11.02336	10.87665	10.44158	9.83957	9.15662	8.17519	7.23424
10	1.22812	1.20023	1.16224	1.12069	1.07110	1.00110	0.93541	0.86803	0.82012	0.78381	0.77707	0.78718	0.80833	0.83453	0.85942	0.89105	0.92755	0.96011	0.98894	1.02094	1.04957
