State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	3.11226	0.30046	1.22193	2.23293	1.03036	0.47001	1.07275	0.21860
2	0.86170	0.91129	1.73792	2.20430	1.73287	1.72262	5.53155	0.23929
3	0.73085	28.66955	5.75323	1.99848	2.77998	24.93398	18.59025	0.22066
4	0.61597	36.40224	5.14979	1.09652	2.76480	37.42006	14.02046	0.37806
5	0.89284	5.25192	1.63246	0.91589	1.55492	5.86553	5.30527	0.69272
6	0.75752	3.02825	1.88832	1.33518	2.28509	4.74604	2.58702	0.49910
7	0.53786	3.67972	2.15399	1.09260	2.50317	2.71966	1.78410	0.76976
8	75.39243	0.28252	0.86812	0.91468	0.91358	0.35395	0.52160	1.04481
9	0.61000	22.02042	3.90733	1.12110	2.80905	9.81458	9.07985	0.62338
10	16.48857	0.67980	0.93657	1.02827	1.00126	0.77710	1.04028	1.10122
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
