State (Emission order)	H2az	H3k9ac	H3K4me3	H3k27ac	H3k79me2	H4k20me1	H3k9me3	H3k27me3	Ezh239875	Ctcf
1	0.0027147144498004387	0.0027380492670414764	0.00987706292901698	0.00905000315515719	0.5179926553072594	0.03591929456063497	0.027199242324268486	3.837523152837893E-4	0.009370816359587053	0.007985480869053076
2	0.04191351466999963	0.1670170872819011	0.46639963990552835	0.35795992549385836	0.9322479536851975	0.05834681915731353	0.022723510913563835	0.0021824615524942683	0.022542368194056087	0.021820271863869117
3	0.5026953966394462	0.9654450640751425	0.9421397825218273	0.916945748609627	0.9560608640625877	0.0334689398787527	0.012512113854310654	0.0021948560489001437	0.029039852995453103	0.08473235589109893
4	0.8881188900286386	0.7825480935644983	0.7784669470657498	0.691746422751633	0.07873419493943679	0.0041728770545449686	0.008879210464865013	0.012910703325754233	0.058986328813272815	0.15789038002980207
5	0.46771072894152343	0.027927609629685036	0.09780669524872286	0.059435309639178605	0.006421811414995617	0.0031985348928852166	0.016769618166999394	0.007439244807301428	0.02963408360461165	0.015535967696101285
6	0.16086257246655022	0.15697362216124147	0.20735494041857896	0.7152191987936001	0.06778395210150386	0.004831226614810438	0.023554862103407976	0.025894935219624163	0.03615659044041472	0.01759003381561307
7	0.1256750462393705	0.006482192156137623	0.012356809274117366	0.00404577718362618	0.007303014932786868	0.018873373287768735	0.007460707363920836	0.007673913471151017	0.05021327601347143	0.9066666237834246
8	0.001424314773233754	2.7656776762170375E-4	0.0011967628458938887	4.340072261736688E-4	7.846789267459195E-4	0.0020144085653037757	0.004622749727813117	8.160635754347906E-4	0.005104051357818958	0.001579065439961612
9	0.05395511733292554	0.015949591749240905	0.17866232043041694	0.031242896219859255	0.0032395762558743847	0.04902816436447775	0.150037261752895	0.32197682599267585	0.25414829179834536	0.06042755084609786
10	0.00216237836840246	4.5788785946959226E-4	0.0016327314602413358	5.300571462480904E-4	1.3578763640605346E-5	0.005582523057637829	0.0026861735812860285	0.032002708992493314	0.01374113376600683	0.0019371081421113714
